"module name","licenses","repository","licenseUrl","parents"
"doctrine@3.0.0","Apache-2.0","https://github.com/eslint/doctrine","https://github.com/eslint/doctrine/raw/master/LICENSE","learn-starter"
"domain-browser@1.2.0","MIT","https://github.com/bevry/domain-browser","https://github.com/bevry/domain-browser/raw/master/LICENSE.md","node-libs-browser:learn-starter"
"domain-browser@4.19.0","MIT","https://github.com/bevry/domain-browser","https://github.com/bevry/domain-browser/raw/master/LICENSE.md","learn-starter"
"electron-to-chromium@1.3.759","ISC","https://github.com/kilian/electron-to-chromium","https://github.com/kilian/electron-to-chromium/raw/master/LICENSE","learn-starter"
"elliptic@6.5.4","MIT","https://github.com/indutny/elliptic","https://github.com/indutny/elliptic","learn-starter"
"emoji-regex@8.0.0","MIT","https://github.com/mathiasbynens/emoji-regex","https://github.com/mathiasbynens/emoji-regex/raw/master/LICENSE-MIT.txt","learn-starter"
"emoji-regex@9.2.2","MIT","https://github.com/mathiasbynens/emoji-regex","https://github.com/mathiasbynens/emoji-regex/raw/master/LICENSE-MIT.txt","eslint-plugin-jsx-a11y:learn-starter"
"emojis-list@2.1.0","MIT","https://github.com/kikobeats/emojis-list","https://github.com/kikobeats/emojis-list/raw/master/LICENSE.md","learn-starter"
"encoding@0.1.13","MIT","https://github.com/andris9/encoding","https://github.com/andris9/encoding/raw/master/LICENSE","learn-starter"
"enquirer@2.3.6","MIT","https://github.com/enquirer/enquirer","https://github.com/enquirer/enquirer/raw/master/LICENSE","learn-starter"
"error-ex@1.3.2","MIT","https://github.com/qix-/node-error-ex","https://github.com/qix-/node-error-ex/raw/master/LICENSE","learn-starter"
"es-abstract@1.18.3","MIT","https://github.com/ljharb/es-abstract","https://github.com/ljharb/es-abstract/raw/master/LICENSE","learn-starter"
"es-to-primitive@1.2.1","MIT","https://github.com/ljharb/es-to-primitive","https://github.com/ljharb/es-to-primitive/raw/master/LICENSE","learn-starter"
"es6-object-assign@1.1.0","MIT","https://github.com/rubennorte/es6-object-assign","https://github.com/rubennorte/es6-object-assign/raw/master/LICENSE","learn-starter"
"escalade@3.1.1","MIT","https://github.com/lukeed/escalade","https://github.com/lukeed/escalade/raw/master/license","learn-starter"
